/Users/alun/Projects/mex-bot/mex-bot/bin/python "/Applications/PyCharm CE.app/Contents/helpers/pydev/pydevd.py" --multiproc --qt-support=auto --client 127.0.0.1 --port 61515 --file /Users/alun/Projects/mex-bot/MarketData.py
pydev debugger: process 19584 is connecting

Connected to pydev debugger (build 191.6605.12)
1555932992
1555929392
     timestamp    open    high     low   close   volume
0   1555929360  5301.5  5310.0  5301.0  5306.5  9574600
1   1555929420  5306.5  5306.5  5303.5  5305.5  1330375
2   1555929480  5305.5  5305.5  5305.0  5305.5   190925
3   1555929540  5305.5  5308.5  5305.0  5308.0  1920486
4   1555929600  5308.0  5308.5  5307.5  5307.5   901562
5   1555929660  5307.5  5308.0  5307.5  5308.0   208635
6   1555929720  5308.0  5308.0  5307.5  5308.0   170778
7   1555929780  5308.0  5310.0  5307.5  5310.0  2301146
8   1555929840  5310.0  5312.5  5309.5  5311.0  3229336
9   1555929900  5311.0  5311.0  5310.5  5310.5   899545
10  1555929960  5310.5  5311.0  5310.5  5311.0   767002
11  1555930020  5311.0  5312.0  5310.5  5312.0   454448
12  1555930080  5312.0  5312.0  5310.0  5310.0  1412172
13  1555930140  5310.0  5310.5  5308.5  5309.0  1447703
14  1555930200  5309.0  5309.0  5308.5  5309.0   389381
15  1555930260  5309.0  5309.0  5308.5  5308.5   356908
16  1555930320  5308.5  5309.0  5308.5  5308.5   389925
17  1555930380  5308.5  5309.0  5308.5  5309.0   725125
18  1555930440  5309.0  5310.0  5308.5  5309.5   700830
19  1555930500  5309.5  5319.0  5309.0  5314.5  9617101
20  1555930560  5314.5  5316.5  5311.0  5314.5  1559955
21  1555930620  5314.5  5315.0  5313.5  5314.0  1172153
22  1555930680  5314.0  5314.0  5313.5  5314.0   926025
23  1555930740  5314.0  5315.0  5314.0  5314.5  1444822
24  1555930800  5314.5  5315.0  5313.5  5314.0   926849
25  1555930860  5314.0  5314.0  5313.5  5313.5   652204
26  1555930920  5313.5  5315.0  5313.5  5315.0  1141163
27  1555930980  5315.0  5319.5  5315.0  5319.0  3171390
28  1555931040  5319.0  5319.5  5317.5  5317.5  1487213
29  1555931100  5317.5  5319.5  5317.5  5319.0   975597
..         ...     ...     ...     ...     ...      ...
31  1555931220  5325.0  5325.0  5323.5  5325.0  1597753
32  1555931280  5325.0  5325.0  5324.0  5324.0  1452048
33  1555931340  5324.0  5324.5  5323.0  5323.0  1320755
34  1555931400  5323.0  5323.5  5319.5  5319.5   943200
35  1555931460  5319.5  5321.0  5319.5  5320.5  1487270
36  1555931520  5320.5  5320.5  5320.0  5320.5   909406
37  1555931580  5320.5  5321.5  5320.0  5321.0  2005274
38  1555931640  5321.0  5321.5  5320.5  5320.5   748471
39  1555931700  5320.5  5321.0  5318.0  5318.5  2059444
40  1555931760  5318.5  5318.5  5318.0  5318.0   505098
41  1555931820  5318.0  5318.5  5317.0  5317.0  1312737
42  1555931880  5317.0  5318.0  5317.0  5318.0  1410470
43  1555931940  5318.0  5318.0  5317.5  5318.0    85095
44  1555932000  5318.0  5318.0  5317.5  5318.0   202826
45  1555932060  5318.0  5318.0  5317.5  5317.5   850814
46  1555932120  5317.5  5318.0  5316.5  5316.5   686731
47  1555932180  5316.5  5317.0  5316.0  5316.0   382254
48  1555932240  5316.0  5316.5  5316.0  5316.5  1476379
49  1555932300  5316.5  5316.5  5316.0  5316.5   289496
50  1555932360  5316.5  5318.0  5316.0  5317.5   674952
51  1555932420  5317.5  5318.0  5317.5  5317.5   255165
52  1555932480  5317.5  5318.0  5315.5  5315.5   737207
53  1555932540  5315.5  5316.0  5315.0  5316.0  2152370
54  1555932600  5316.0  5316.5  5316.0  5316.0   596490
55  1555932660  5316.0  5316.5  5316.0  5316.0   103249
56  1555932720  5316.0  5316.5  5316.0  5316.5   389926
57  1555932780  5316.5  5316.5  5316.0  5316.0   278928
58  1555932840  5316.0  5316.5  5316.0  5316.0    78609
59  1555932900  5316.0  5316.5  5316.0  5316.5   850466
60  1555932960  5316.5  5316.5  5316.0  5316.5   138641

[61 rows x 6 columns]

Process finished with exit code 0
